,Nom,Type,Pop21,Pop16,Km2
422,Baie-des-Sables,MÉ,613.0,628.0,65.07
423,Grosses-Roches 3,MÉ,375.0,394.0,63.59
424,Les Méchins,MÉ,995.0,987.0,441.39
425,Matane,V,13987.0,14311.0,195.49
426,Rivière-Bonjour 7,NO,16.0,0.0,1682.5
427,Saint-Adelme 3,PE,484.0,520.0,100.58
428,Saint-Jean-de-Cherbourg 3,PE,163.0,165.0,113.96
429,Saint-Léandre,PE,375.0,400.0,104.72
430,Saint-René-de-Matane 3,MÉ,961.0,991.0,253.89
431,Saint-Ulric,MÉ,1567.0,1585.0,120.45
432,Sainte-Félicité 3,MÉ,1100.0,1087.0,90.73
433,Sainte-Paule,MÉ,247.0,233.0,83.36
434,Albertville,MÉ,239.0,226.0,103.13
435,Amqui,V,5999.0,6178.0,121.02
436,Causapscal,V,2147.0,2304.0,161.61
437,Lac-Alfred,NO,0.0,0.0,77.53
438,Lac-Casault 7,NO,30.0,0.0,1428.21
439,Lac-Matapédia 3,NO,10.0,5.0,71.01
440,Lac-au-Saumon,MÉ,1488.0,1450.0,81.05
441,Rivière-Patapédia-Est,NO,0.0,0.0,15.85
442,Rivière-Vaseuse,NO,0.0,0.0,275.3
443,Routhierville,NO,20.0,18.0,626.26
444,Ruisseau-des-Mineurs 4,NO,5.0,0.0,935.95
445,Saint-Alexandre-des-Lacs 3,PE,298.0,268.0,89.82
446,Saint-Cléophas,PE,321.0,333.0,97.22
447,Saint-Damase 3,PE,382.0,356.0,116.42
448,Saint-Léon-le-Grand,PE,968.0,953.0,128.26
449,Saint-Moïse,PE,542.0,580.0,109.8
450,Saint-Noël,VL,392.0,398.0,45.8
451,Saint-Tharcisius 3,PE,411.0,421.0,78.84
452,Saint-Vianney,MÉ,446.0,441.0,145.6
453,Saint-Zénon-du-Lac-Humqui,PE,370.0,359.0,113.09
454,Sainte-Florence,MÉ,367.0,384.0,103.48
455,Sainte-Irène,PE,369.0,327.0,135.09
456,Sainte-Marguerite-Marie,MÉ,183.0,166.0,85.97
457,Sayabec 3,MÉ,1706.0,1831.0,130.31
458,Val-Brillant,MÉ,899.0,927.0,77.9
459,Grand-Métis 3,MÉ,218.0,213.0,25.12
460,La Rédemption,PE,384.0,432.0,116.63
461,Lac-des-Eaux-Mortes,NO,47.0,0.0,923.26
462,Lac-à-la-Croix,NO,0.0,0.0,223.35
463,Les Hauteurs,MÉ,485.0,504.0,102.92
464,Mont-Joli,V,6384.0,6281.0,24.24
465,Métis-sur-Mer 3,V,594.0,572.0,48.22
466,Padoue,MÉ,250.0,245.0,66.66
467,Price,VL,1729.0,1759.0,2.51
468,Saint-Charles-Garnier,PE,222.0,240.0,84.79
469,Saint-Donat,PE,835.0,876.0,95.8
470,Saint-Gabriel-de-Rimouski,MÉ,1177.0,1167.0,126.98
471,Saint-Joseph-de-Lepage,PE,590.0,523.0,30.98
472,Saint-Octave-de-Métis,PE,493.0,511.0,75.16
473,Sainte-Angèle-de-Mérici,MÉ,989.0,953.0,107.78
474,Sainte-Flavie,PE,904.0,884.0,38.23
475,Sainte-Jeanne-d'Arc,PE,217.0,280.0,110.34
476,Sainte-Luce,MÉ,2845.0,2801.0,72.59
477,Frampton 3,MÉ,1309.0,1297.0,151.27
478,Saint-Bernard,MÉ,2535.0,2321.0,90.1
479,Saint-Elzéar,MÉ,2623.0,2400.0,87.07
480,Saint-Isidore,MÉ,3286.0,2880.0,102.61
481,Saint-Lambert-de-Lauzon,MÉ,6817.0,6647.0,106.76
482,Sainte-Hénédine,PE,1440.0,1271.0,51.53
483,Sainte-Marguerite,PE,1175.0,1078.0,83.05
484,Sainte-Marie,V,13134.0,13565.0,107.55
485,Saints-Anges,PE,1239.0,1157.0,68.65
486,Scott,MÉ,2566.0,2352.0,31.29
487,Vallée-Jonction 5,MÉ,1864.0,1875.0,25.45
488,Prévost,V,13692.0,13002.0,34.29
489,Saint-Colomban,V,17740.0,16019.0,92.71
490,Saint-Hippolyte,MÉ,10669.0,9113.0,119.5
491,Saint-Jérôme,V,80213.0,74346.0,90.18
492,Sainte-Sophie,MÉ,18080.0,15690.0,111.2
493,Communauté de Wemotaci,IRI,1142.0,1213.0,31.55
494,La Bostonnais,MÉ,556.0,635.0,284.32
495,La Tuque,V,11129.0,11001.0,24809.4
496,Lac-Édouard,MÉ,220.0,191.0,898.32
497,Obedjiwan 28,IRI,1991.0,2019.0,8.26
498,Belcourt,MÉ,219.0,225.0,409.74
499,Kitcisakik,S-É,257.0,274.0,1.51
500,Lac Simon,IRI,1285.0,1380.0,3.14
501,Lac-Granet,NO,0.0,0.0,217.77
502,Lac-Metei,NO,0.0,0.0,72.12
503,Malartic,V,3355.0,3377.0,147.45
504,Matchi-Manitou,NO,0.0,0.0,164.77
505,Rivière-Héva,MÉ,1495.0,1419.0,423.27
506,Réservoir-Dozois,NO,0.0,0.0,3832.68
507,Senneterre,V,2782.0,2868.0,14718.51
508,Senneterre,PE,1202.0,1192.0,567.05
509,Val-d'Or,V,32752.0,32491.0,3536.84
510,Aumond,CT,754.0,754.0,212.82
511,Blue Sea,MÉ,696.0,639.0,72.97
512,Bois-Franc,MÉ,411.0,421.0,71.56
513,Bouchette,MÉ,695.0,731.0,122.09
514,Cascades-Malignes,NO,0.0,0.0,480.88
515,Cayamant,MÉ,895.0,821.0,382.49
516,Denholm,MÉ,546.0,505.0,177.33
517,Déléage,MÉ,1916.0,1852.0,248.26
518,Dépôt-Échouani,NO,0.0,0.0,308.12
519,Egan-Sud,MÉ,508.0,504.0,49.82
520,Gracefield,V,2376.0,2462.0,380.94
521,Grand-Remous,MÉ,1159.0,1161.0,351.63
522,Kazabazua,MÉ,1037.0,945.0,172.91
523,Kitigan Zibi 5,IRI,1204.0,1231.0,195.06
524,Lac-Lenôtre,NO,0.0,0.0,1934.31
525,Lac-Moselle,NO,0.0,0.0,1144.81
526,Lac-Pythonga,NO,0.0,0.0,5061.54
527,Lac-Rapide 6,IRI,,,0.36
528,Lac-Sainte-Marie,MÉ,677.0,566.0,205.71
529,Low,CT,1020.0,982.0,257.78
530,Maniwaki 5,V,3757.0,3843.0,5.67
531,Messines,MÉ,1655.0,1609.0,110.11
532,Montcerf-Lytton,MÉ,653.0,636.0,354.64
533,Sainte-Thérèse-de-la-Gatineau,MÉ,588.0,520.0,60.68
534,Beloeil,V,24104.0,22458.0,24.38
535,Carignan,V,11740.0,9462.0,62.07
536,Chambly,V,31444.0,29120.0,25.08
537,McMasterville,MÉ,5936.0,5698.0,3.12
538,Mont-Saint-Hilaire,V,18859.0,18585.0,44.08
539,Otterburn Park,V,8479.0,8421.0,5.37
540,Saint-Antoine-sur-Richelieu,MÉ,1738.0,1694.0,65.67
541,Saint-Basile-le-Grand,V,17053.0,17059.0,35.84
542,Saint-Charles-sur-Richelieu,MÉ,1735.0,1717.0,64.91
543,Saint-Denis-sur-Richelieu,MÉ,2339.0,2308.0,84.64
544,Saint-Jean-Baptiste,MÉ,3179.0,3107.0,72.36
545,Saint-Marc-sur-Richelieu,MÉ,2245.0,2172.0,60.92
546,Saint-Mathieu-de-Beloeil,MÉ,2952.0,2619.0,39.39
547,Alma 5,V,30331.0,30771.0,194.92
548,Belle-Rivière 3,NO,10.0,0.0,608.47
549,Desbiens,V,995.0,1028.0,10.39
550,Hébertville 3,MÉ,2500.0,2542.0,260.74
551,Hébertville-Station,VL,1229.0,1311.0,31.5
552,L'Ascension-de-Notre-Seigneur,PE,2079.0,1987.0,130.84
553,Labrecque,MÉ,1328.0,1321.0,152.67
554,Lac-Achouakan,NO,0.0,0.0,225.49
555,Lac-Moncouche,NO,0.0,0.0,262.78
556,Lamarche,MÉ,476.0,514.0,81.45
557,Mont-Apica,NO,0.0,0.0,13.02
558,Métabetchouan--Lac-à-la-Croix,V,4121.0,3985.0,187.49
559,Saint-Bruno,MÉ,2902.0,2801.0,77.86
560,Saint-Gédéon,MÉ,2177.0,2085.0,63.38
561,Saint-Henri-de-Taillon 5,MÉ,803.0,826.0,61.74
562,Saint-Ludger-de-Milot,MÉ,637.0,651.0,107.46
563,Saint-Nazaire,MÉ,2029.0,2073.0,144.76
564,Sainte-Monique,MÉ,858.0,846.0,152.53
565,Laval,V,438366.0,422993.0,246.13
566,Chambord,MÉ,1748.0,1765.0,120.85
567,La Doré,PE,1359.0,1365.0,288.55
568,Lac-Ashuapmushuan,NO,140.0,36.0,14684.28
569,Lac-Bouchette,MÉ,1183.0,1196.0,904.26
570,Mashteuiatsh,IRI,2010.0,1957.0,14.43
571,Roberval,V,9840.0,10046.0,151.36
572,Saint-André-du-Lac-Saint-Jean,VL,453.0,467.0,145.43
573,Saint-François-de-Sales,MÉ,643.0,616.0,197.2
574,Saint-Félicien,V,10089.0,10238.0,361.27
575,Saint-Prime,MÉ,2760.0,2753.0,147.16
576,Sainte-Hedwidge,MÉ,870.0,846.0,461.67
577,Audet,MÉ,708.0,734.0,134.95
578,Courcelles,MÉ,814.0,823.0,90.34
579,Frontenac,MÉ,1811.0,1734.0,223.6
580,Lac-Drolet,MÉ,1067.0,1021.0,124.3
581,Lac-Mégantic,V,5747.0,5654.0,21.98
582,Lambton,MÉ,1630.0,1617.0,108.45
583,Marston,CT,777.0,705.0,71.83
584,Milan,MÉ,318.0,299.0,129.44
585,Nantes,MÉ,1388.0,1377.0,119.16
586,Notre-Dame-des-Bois,MÉ,1028.0,938.0,192.51
587,Piopolis,MÉ,398.0,358.0,103.38
588,Saint-Augustin-de-Woburn,PE,667.0,692.0,281.07
589,Saint-Ludger,MÉ,1074.0,1071.0,127.58
590,Saint-Robert-Bellarmin,MÉ,529.0,575.0,236.33
591,Saint-Romain,MÉ,711.0,691.0,112.12
592,Saint-Sébastien,MÉ,674.0,657.0,91.95
593,Sainte-Cécile-de-Whitton,MÉ,853.0,863.0,146.46
594,Stornoway,MÉ,535.0,530.0,180.15
595,Stratford,CT,1036.0,945.0,119.86
596,Val-Racine,MÉ,183.0,178.0,116.06
597,Henryville,MÉ,1497.0,1406.0,64.82
598,Lacolle,MÉ,2708.0,2596.0,49.41
599,Mont-Saint-Grégoire,MÉ,3136.0,3077.0,79.83
600,Noyan,MÉ,1418.0,1392.0,44.28
601,Saint-Alexandre,MÉ,2678.0,2469.0,76.27
602,Saint-Blaise-sur-Richelieu,MÉ,2092.0,2066.0,69.54
603,Saint-Georges-de-Clarenceville,MÉ,1154.0,1103.0,63.06
604,Saint-Jean-sur-Richelieu,V,97873.0,95114.0,226.93
605,Saint-Paul-de-l'Île-aux-Noix,MÉ,2141.0,1980.0,29.85
606,Saint-Sébastien,MÉ,692.0,718.0,63.29
607,Saint-Valentin,MÉ,418.0,447.0,39.27
608,Sainte-Anne-de-Sabrevois,PE,2143.0,2039.0,44.65
609,Sainte-Brigide-d'Iberville,MÉ,1428.0,1402.0,70.52
610,Venise-en-Québec,MÉ,1899.0,1634.0,13.13
611,Ascot Corner,MÉ,3368.0,3158.0,81.64
612,Bury,MÉ,1252.0,1174.0,234.13
613,Chartierville,MÉ,319.0,276.0,141.94
614,Cookshire-Eaton,V,5344.0,5393.0,296.25
615,Dudswell,MÉ,1755.0,1727.0,218.01
616,East Angus,V,3840.0,3659.0,7.84
617,Hampden,CT,193.0,176.0,111.68
618,La Patrie,MÉ,805.0,768.0,204.61
619,Lingwick,CT,456.0,428.0,243.01
620,Newport,MÉ,698.0,733.0,270.63
621,Saint-Isidore-de-Clifton,MÉ,673.0,695.0,176.94
622,Scotstown,V,459.0,472.0,11.44
623,Weedon,MÉ,2667.0,2670.0,215.95
624,Westbury,CT,1097.0,1006.0,55.61
625,Akwesasne 3 6,IRI,,2378.0,23.79
626,Dundee,CT,386.0,387.0,68.41
627,Elgin,MÉ,389.0,394.0,69.35
628,Franklin,MÉ,1635.0,1636.0,112.33
629,Godmanchester,CT,1403.0,1394.0,138.66
630,Havelock,CT,756.0,740.0,88.7
631,Hinchinbrooke,MÉ,2187.0,2103.0,148.36
632,Howick,MÉ,850.0,778.0,0.96
633,Huntingdon,V,2556.0,2444.0,2.77
634,Ormstown,MÉ,3917.0,3595.0,142.24
635,Saint-Anicet,MÉ,2754.0,2626.0,135.03
636,Saint-Chrysostome,MÉ,2582.0,2645.0,100.2
637,Sainte-Barbe,MÉ,1609.0,1324.0,40.14
638,Très-Saint-Sacrement,PE,1189.0,1186.0,97.16
639,Chandler,V,7490.0,7546.0,418.45
640,Grande-Rivière,V,3384.0,3408.0,87.92
641,Mont-Alexandre,NO,0.0,0.0,1800.87
642,Percé,V,3095.0,3103.0,432.81
643,Port-Daniel--Gascons,MÉ,2271.0,2210.0,300.29
644,Sainte-Thérèse-de-Gaspé,MÉ,979.0,1015.0,34.45
645,Bégin,MÉ,851.0,818.0,189.67
646,Ferland-et-Boilleau,MÉ,632.0,540.0,383.09
647,L'Anse-Saint-Jean,MÉ,1301.0,1201.0,501.79
648,Lac-Ministuk,NO,58.0,0.0,1478.79
649,Lalemant,NO,0.0,0.0,190.57
650,Larouche,MÉ,1601.0,1486.0,84.71
651,Mont-Valin,NO,10.0,0.0,33540.39
652,Petit-Saguenay,MÉ,600.0,634.0,329.63
653,Rivière-Éternité,MÉ,414.0,413.0,473.17
654,Saguenay,V,144723.0,145949.0,1124.63
655,Saint-Ambroise,MÉ,3883.0,3781.0,149.37
656,Saint-Charles-de-Bourget,MÉ,784.0,736.0,62.13
657,Saint-David-de-Falardeau,MÉ,2996.0,2768.0,398.25
658,Saint-Fulgence,MÉ,2061.0,2071.0,351.91
659,Saint-Félix-d'Otis,MÉ,1109.0,956.0,233.16
660,Saint-Honoré,V,6376.0,5757.0,189.38
661,Sainte-Rose-du-Nord,PE,434.0,439.0,116.61
662,Bonsecours,MÉ,650.0,608.0,60.36
663,Cleveland,CT,1581.0,1541.0,123.59
664,Kingsbury,VL,142.0,138.0,6.11
665,Lawrenceville,VL,618.0,635.0,16.73
666,Maricourt,MÉ,456.0,416.0,61.1
667,Melbourne,CT,1096.0,1063.0,173.93
668,Racine,MÉ,1340.0,1323.0,105.63
669,Richmond,V,3259.0,3232.0,6.98
670,Saint-Claude,MÉ,1141.0,1185.0,118.85
671,Saint-Denis-de-Brompton,MÉ,4594.0,4054.0,70.29
672,Saint-François-Xavier-de-Brompton,MÉ,2469.0,2273.0,97.71
673,Sainte-Anne-de-la-Rochelle,MÉ,625.0,598.0,61.86
674,Stoke,MÉ,3014.0,2955.0,255.12
675,Ulverton,MÉ,433.0,418.0,51.27
676,Val-Joli,MÉ,1671.0,1619.0,91.69
677,Valcourt,V,2139.0,2165.0,5.41
678,Valcourt,CT,1029.0,1044.0,80.39
679,Windsor,V,5294.0,5419.0,14.53
680,Adstock,MÉ,2903.0,2806.0,290.03
681,Beaulac-Garthby,MÉ,931.0,905.0,75.96
682,Disraeli,V,2360.0,2336.0,6.8
683,Disraeli,PE,1163.0,1123.0,92.53
684,East Broughton,MÉ,2248.0,2199.0,8.86
685,Irlande,MÉ,897.0,884.0,109.85
686,Kinnear's Mills,MÉ,397.0,350.0,93.66
687,Sacré-Coeur-de-Jésus,PE,536.0,521.0,104.73
688,Saint-Adrien-d'Irlande,MÉ,395.0,399.0,53.18
689,Saint-Fortunat,MÉ,255.0,263.0,76.09
690,Saint-Jacques-de-Leeds,MÉ,711.0,685.0,80.56
691,Saint-Jacques-le-Majeur-de-Wolfestown,PE,186.0,188.0,58.71
692,Saint-Jean-de-Brébeuf,MÉ,351.0,372.0,79.15
693,Saint-Joseph-de-Coleraine,MÉ,1820.0,1762.0,126.76
694,Saint-Julien,MÉ,378.0,376.0,81.7
695,Saint-Pierre-de-Broughton,MÉ,889.0,898.0,150.56
696,Sainte-Clotilde-de-Beauce,MÉ,569.0,549.0,60.55
697,Sainte-Praxède,PE,351.0,327.0,136.18
698,Thetford Mines,V,26072.0,25403.0,225.97
699,Lac-Boisbouscache,NO,0.0,0.0,98.15
700,Notre-Dame-des-Neiges,MÉ,1194.0,1085.0,94.44
701,Saint-Clément,MÉ,479.0,460.0,86.72
702,Saint-Guy,MÉ,76.0,54.0,139.54
703,Saint-Jean-de-Dieu,MÉ,1651.0,1596.0,152.04
704,Saint-Mathieu-de-Rioux,MÉ,691.0,639.0,107.27
705,Saint-Médard,MÉ,216.0,209.0,75.28
706,Saint-Simon-de-Rimouski,MÉ,455.0,426.0,74.84
707,Saint-Éloi,PE,310.0,286.0,65.77
708,Sainte-Françoise,PE,383.0,386.0,88.83
709,Sainte-Rita,MÉ,303.0,307.0,129.52
710,Trois-Pistoles,V,3115.0,3246.0,7.63
711,Cantley,MÉ,11449.0,10699.0,126.12
712,Chelsea,MÉ,8000.0,6909.0,112.65
713,L'Ange-Gardien,MÉ,6102.0,5464.0,216.05
714,La Pêche,MÉ,8636.0,7863.0,577.18
715,Notre-Dame-de-la-Salette,MÉ,841.0,727.0,113.33
716,Pontiac,MÉ,6142.0,5850.0,445.27
717,Val-des-Monts,MÉ,13328.0,11582.0,434.77
718,Lac-Etchemin,MÉ,4028.0,3822.0,157.22
719,Saint-Benjamin,MÉ,1090.0,987.0,111.53
720,Saint-Camille-de-Lellis,PE,737.0,752.0,251.93
721,Saint-Cyprien,PE,474.0,490.0,93.48
722,Saint-Louis-de-Gonzague,MÉ,390.0,374.0,118.01
723,Saint-Luc-de-Bellechasse,MÉ,449.0,438.0,161.99
724,Saint-Magloire,MÉ,712.0,676.0,208.61
725,Saint-Prosper,MÉ,3596.0,3590.0,133.74
726,Saint-Zacharie,MÉ,1684.0,1653.0,186.56
727,Sainte-Aurélie,MÉ,856.0,847.0,78.25
728,Sainte-Justine,MÉ,1828.0,1820.0,126.28
729,Sainte-Rose-de-Watford,MÉ,740.0,729.0,115.13
730,Sainte-Sabine,PE,343.0,358.0,66.89
731,Hemmingford,VL,829.0,755.0,1.07
732,Hemmingford,CT,1995.0,1900.0,157.22
733,Napierville,MÉ,4020.0,3899.0,4.5
734,Saint-Bernard-de-Lacolle,MÉ,1542.0,1549.0,113.36
735,Saint-Cyprien-de-Napierville,MÉ,1735.0,1927.0,97.75
736,Saint-Jacques-le-Mineur,MÉ,1766.0,1690.0,67.18
737,Saint-Michel,MÉ,3521.0,3186.0,59.82
738,Saint-Patrice-de-Sherrington,MÉ,1963.0,1960.0,92.55
739,Saint-Rémi,V,8957.0,8061.0,78.18
740,Saint-Édouard,MÉ,1365.0,1321.0,52.68
741,Sainte-Clotilde,MÉ,2646.0,1622.0,78.21
742,Amherst,CT,1728.0,1484.0,227.86
743,Arundel,CT,578.0,563.0,63.45
744,Barkmere,V,81.0,58.0,17.72
745,Brébeuf,PE,1009.0,976.0,35.78
746,Doncaster 6,IRI,,,74.62
747,Huberdeau,MÉ,863.0,868.0,56.72
748,Ivry-sur-le-Lac,MÉ,391.0,387.0,29.3
749,La Conception,MÉ,1527.0,1337.0,127.37
750,La Minerve,MÉ,1421.0,1205.0,274.92
751,Labelle,MÉ,2765.0,2477.0,196.69
752,Lac-Supérieur,MÉ,1972.0,1888.0,365.98
753,Lac-Tremblant-Nord,MÉ,60.0,42.0,20.62
754,Lantier,MÉ,891.0,834.0,48.19
755,Mont-Tremblant,V,10992.0,9646.0,233.75
756,Montcalm,MÉ,632.0,628.0,117.71
757,Saint-Faustin--Lac-Carré,MÉ,3780.0,3499.0,120.21
758,Sainte-Agathe-des-Monts,V,11211.0,10223.0,129.1
759,Sainte-Lucie-des-Laurentides,MÉ,1445.0,1256.0,108.98
760,Val-David,VL,5558.0,4917.0,42.66
761,Val-Morin,MÉ,3123.0,2870.0,39.2
762,Val-des-Lacs,MÉ,750.0,744.0,126.7
763,La Présentation,MÉ,2638.0,2540.0,94.39
764,Saint-Barnabé-Sud,MÉ,962.0,861.0,57.2
765,Saint-Bernard-de-Michaudville,MÉ,616.0,586.0,66.05
766,Saint-Damase,MÉ,2447.0,2473.0,79.65
767,Saint-Dominique,MÉ,2741.0,2553.0,70.53
768,Saint-Hugues,MÉ,1340.0,1327.0,84.64
769,Saint-Hyacinthe,V,57239.0,55648.0,188.85
770,Saint-Jude,MÉ,1326.0,1214.0,77.33
771,Saint-Liboire,MÉ,3036.0,3062.0,73.82
772,Saint-Louis,MÉ,740.0,712.0,47.21
773,Saint-Marcel-de-Richelieu,MÉ,507.0,497.0,51.27
774,Saint-Pie,V,5847.0,5607.0,107.42
775,Saint-Simon,MÉ,1386.0,1413.0,69.05
776,Saint-Valérien-de-Milton,MÉ,1767.0,1793.0,106.92
777,Sainte-Hélène-de-Bagot,MÉ,1696.0,1688.0,72.41
778,Sainte-Madeleine,VL,2268.0,2233.0,5.36
779,Sainte-Marie-Madeleine,PE,2876.0,2892.0,50.04
780,Mascouche,V,51183.0,46692.0,106.89
781,Terrebonne,V,119944.0,111575.0,153.76
782,Estérel,V,262.0,196.0,12.62
783,Lac-des-Seize-Îles 5,MÉ,175.0,192.0,8.88
784,Morin-Heights,MÉ,4678.0,4145.0,55.96
785,Piedmont,MÉ,3476.0,2950.0,24.36
786,Saint-Adolphe-d'Howard,MÉ,3824.0,3509.0,135.8
787,Saint-Sauveur,V,11580.0,10231.0,47.62
788,Sainte-Adèle,V,14010.0,12919.0,119.67
789,Sainte-Anne-des-Lacs,PE,3862.0,3611.0,24.65
790,Sainte-Marguerite-du-Lac-Masson,V,3367.0,2763.0,91.56
791,Wentworth-Nord 5,MÉ,1672.0,1361.0,152.87
792,Danville,V,3888.0,3826.0,151.73
793,Ham-Sud,MÉ,214.0,235.0,151.21
794,Saint-Adrien,MÉ,522.0,522.0,98.52
795,Saint-Camille,CT,551.0,529.0,83.1
796,Saint-Georges-de-Windsor,MÉ,958.0,958.0,127.46
797,Val-des-Sources,V,7088.0,6786.0,30.25
798,Wotton,MÉ,1402.0,1430.0,143.15
799,Boucherville,V,41743.0,41671.0,71.02
800,Brossard,V,91525.0,85721.0,45.19
801,Longueuil 5,V,254483.0,239897.0,115.77
802,Saint-Bruno-de-Montarville 5,V,26273.0,26197.0,42.85
803,Saint-Lambert,V,22761.0,21861.0,7.56
804,Dosquet,MÉ,935.0,944.0,65.07
805,Laurier-Station,VL,2570.0,2573.0,12.16
806,Leclercville,MÉ,491.0,473.0,136.61
807,Lotbinière,MÉ,855.0,812.0,79.91
808,Notre-Dame-du-Sacré-Coeur-d'Issoudun,PE,867.0,861.0,60.32
809,Saint-Agapit,MÉ,4526.0,4280.0,65.4
810,Saint-Antoine-de-Tilly,MÉ,1682.0,1598.0,59.95
811,Saint-Apollinaire,MÉ,7968.0,6110.0,96.83
812,Saint-Flavien,MÉ,1619.0,1618.0,66.16
813,Saint-Gilles,MÉ,2910.0,2525.0,177.43
814,Saint-Janvier-de-Joly,MÉ,1079.0,984.0,109.88
815,Saint-Narcisse-de-Beaurivage,PE,1152.0,1106.0,62.07
816,Saint-Patrice-de-Beaurivage,MÉ,1109.0,1036.0,85.73
817,Saint-Sylvestre,MÉ,1019.0,1019.0,147.15
818,Saint-Édouard-de-Lotbinière,PE,1240.0,1194.0,98.43
819,Sainte-Agathe-de-Lotbinière,MÉ,1049.0,1168.0,166.99
820,Sainte-Croix,MÉ,2529.0,2516.0,69.63
821,Val-Alain,MÉ,986.0,924.0,102.54
822,Lévis,V,149683.0,143414.0,448.07
823,Baie-Comeau,V,20687.0,21536.0,334.83
824,Baie-Trinité,VL,438.0,407.0,417.48
825,Chute-aux-Outardes,VL,1391.0,1563.0,7.51
826,Franquelin,MÉ,285.0,313.0,436.55
827,Godbout,VL,272.0,265.0,159.18
828,Pessamit,IRI,2428.0,2256.0,245.19
829,Pointe-Lebel,VL,1817.0,1918.0,85.54
830,Pointe-aux-Outardes,VL,1434.0,1332.0,75.19
831,Ragueneau,PE,1314.0,1343.0,179.83
832,Rivière-aux-Outardes,NO,92.0,94.0,32713.75
833,Calixa-Lavallée,MÉ,509.0,523.0,32.2
834,Contrecoeur,V,9480.0,7887.0,62.2
835,Saint-Amable,V,13322.0,12167.0,36.77
836,Sainte-Julie,V,30045.0,29881.0,48.49
837,Varennes,V,21198.0,21257.0,94.8
838,Verchères,MÉ,5759.0,5835.0,72.63
839,Albanel,MÉ,2181.0,2262.0,197.45
840,Dolbeau-Mistassini 3,V,13718.0,14212.0,293.43
841,Girardville,MÉ,1018.0,988.0,124.11
842,Normandin,V,2991.0,3033.0,211.79
843,Notre-Dame-de-Lorette,MÉ,159.0,189.0,325.77
844,Passes-Dangereuses 3,NO,210.0,184.0,15579.11
845,Péribonka,MÉ,489.0,515.0,110.3
846,Rivière-Mistassini 3,NO,27.0,49.0,17629.74
847,Saint-Augustin,PE,334.0,351.0,104.25
848,Saint-Edmond-les-Plaines,MÉ,355.0,381.0,84.39
849,Saint-Eugène-d'Argentenay,MÉ,487.0,488.0,87.05
850,Saint-Stanislas,MÉ,376.0,373.0,153.58
851,Saint-Thomas-Didyme,MÉ,703.0,676.0,333.25
