,Nom,Type,Pop21,Pop16,Km2
852,Sainte-Jeanne-d'Arc,VL,1101.0,1050.0,267.28
853,Charette,MÉ,1034.0,953.0,41.9
854,Louiseville,V,7340.0,7152.0,62.59
855,Maskinongé,MÉ,2323.0,2319.0,73.31
856,Saint-Alexis-des-Monts,PE,2999.0,2981.0,1035.74
857,Saint-Barnabé,PE,1186.0,1196.0,58.94
858,Saint-Boniface,MÉ,5156.0,4832.0,107.42
859,Saint-Justin,MÉ,961.0,973.0,78.96
860,Saint-Léon-le-Grand,PE,863.0,928.0,75.97
861,Saint-Mathieu-du-Parc,MÉ,1482.0,1338.0,218.85
862,Saint-Paulin,MÉ,1541.0,1497.0,95.41
863,Saint-Sévère,PE,337.0,302.0,31.85
864,Saint-Édouard-de-Maskinongé,MÉ,798.0,712.0,52.82
865,Saint-Élie-de-Caxton,MÉ,1934.0,1836.0,116.84
866,Saint-Étienne-des-Grès,PE,4539.0,4541.0,104.54
867,Sainte-Angèle-de-Prémont,MÉ,631.0,596.0,37.73
868,Sainte-Ursule,MÉ,1355.0,1330.0,67.83
869,Yamachiche,MÉ,2813.0,2830.0,106.39
870,Baie-Atibenne,NO,0.0,0.0,527.58
871,Baie-Obaoca,NO,0.0,0.0,1261.66
872,Baie-de-la-Bouteille,NO,10.0,5.0,1938.18
873,Chertsey,MÉ,5295.0,4696.0,286.05
874,Communauté Atikamekw de Manawan,IRI,2000.0,2060.0,8.03
875,Entrelacs,MÉ,1054.0,928.0,48.71
876,Lac-Cabasta,NO,0.0,0.0,4.7
877,Lac-Devenyns,NO,5.0,0.0,100.71
878,Lac-Legendre,NO,0.0,0.0,693.58
879,Lac-Matawin,NO,10.0,10.0,759.12
880,Lac-Minaki,NO,0.0,0.0,80.59
881,Lac-Santé,NO,0.0,0.0,12.21
882,Lac-des-Dix-Milles,NO,0.0,0.0,224.78
883,Lac-du-Taureau,NO,0.0,0.0,5.86
884,Notre-Dame-de-la-Merci,MÉ,1097.0,905.0,248.58
885,Rawdon,MÉ,11719.0,11057.0,185.38
886,Saint-Alphonse-Rodriguez,MÉ,3339.0,3162.0,97.54
887,Saint-Côme,MÉ,2583.0,2193.0,164.89
888,Saint-Damien,PE,2393.0,2094.0,252.28
889,Saint-Donat,MÉ,4561.0,3888.0,350.17
890,Saint-Félix-de-Valois,MÉ,6975.0,6305.0,88.4
891,Saint-Guillaume-Nord,NO,102.0,87.0,752.78
892,Saint-Jean-de-Matha,MÉ,4838.0,4450.0,109.49
893,Saint-Michel-des-Saints,MÉ,2496.0,2359.0,493.92
894,Saint-Zénon,MÉ,1317.0,1120.0,460.41
895,Sainte-Béatrix,MÉ,2170.0,1955.0,82.96
896,Sainte-Marcelline-de-Kildare,MÉ,1795.0,1594.0,34.52
897,Sainte-Émélie-de-l'Énergie,MÉ,1741.0,1567.0,150.08
898,Austin,MÉ,1748.0,1485.0,73.58
899,Ayer's Cliff 3,VL,1180.0,1073.0,5.53
900,Bolton-Est,MÉ,1108.0,940.0,79.39
901,Eastman,MÉ,2279.0,1843.0,73.57
902,Hatley 3,MÉ,771.0,685.0,60.43
903,Hatley,CT,2230.0,2106.0,71.6
904,Magog,V,28312.0,26669.0,144.26
905,North Hatley,VL,675.0,632.0,3.35
906,Ogden,MÉ,761.0,741.0,74.68
907,Orford,CT,5007.0,4337.0,136.14
908,Potton,CT,2012.0,1852.0,260.77
909,Saint-Benoît-du-Lac,MÉ,43.0,32.0,2.18
910,Saint-Étienne-de-Bolton,MÉ,816.0,674.0,47.27
911,Sainte-Catherine-de-Hatley,MÉ,2741.0,2479.0,86.34
912,Stanstead,V,2824.0,2788.0,21.95
913,Stanstead,CT,1148.0,1036.0,113.2
914,Stukely-Sud,VL,1142.0,1058.0,63.19
915,Aguanish,MÉ,224.0,245.0,532.04
916,Baie-Johan-Beetz,MÉ,84.0,86.0,327.46
917,Blanc-Sablon,MÉ,1122.0,1112.0,234.98
918,Bonne-Espérance,MÉ,692.0,681.0,622.99
919,Côte-Nord-du-Golfe-du-Saint-Laurent,MÉ,787.0,856.0,2597.05
920,Gros-Mécatina 3,MÉ,356.0,451.0,742.15
921,Havre-Saint-Pierre,MÉ,3337.0,3460.0,2570.09
922,L'Île-d'Anticosti,MÉ,177.0,218.0,7715.99
923,Lac-Jérôme,NO,0.0,0.0,40019.7
924,Longue-Pointe-de-Mingan,MÉ,408.0,434.0,370.03
925,Mingan,IRI,552.0,552.0,17.24
926,Natashquan,MÉ,262.0,263.0,667.91
927,Nutashkuan,IRI,915.0,835.0,1.35
928,Pakuashipi 6,S-É,,237.0,3.87
929,Petit-Mécatina,NO,0.0,0.0,35347.19
930,Rivière-Saint-Jean,MÉ,227.0,215.0,513.36
931,Rivière-au-Tonnerre,MÉ,281.0,279.0,605.14
932,Romaine 2 6,IRI,,977.0,0.84
933,Saint-Augustin,MÉ,425.0,445.0,1137.68
934,Mirabel,V,61108.0,50513.0,484.09
935,Saint-Alexis,MÉ,1370.0,1308.0,43.01
936,Saint-Calixte,MÉ,6792.0,6046.0,142.63
937,Saint-Esprit,MÉ,2011.0,1967.0,54.19
938,Saint-Jacques,MÉ,4302.0,3971.0,67.17
939,Saint-Liguori,MÉ,2066.0,1943.0,50.88
940,Saint-Lin--Laurentides,V,24030.0,20786.0,118.29
941,Saint-Roch-Ouest,MÉ,262.0,266.0,20.14
942,Saint-Roch-de-l'Achigan,MÉ,5453.0,5147.0,80.06
943,Sainte-Julienne,MÉ,11173.0,9953.0,99.42
944,Sainte-Marie-Salomé,MÉ,1221.0,1209.0,33.79
945,Berthier-sur-Mer,MÉ,1744.0,1555.0,26.85
946,Cap-Saint-Ignace,MÉ,3099.0,3089.0,204.32
947,Lac-Frontière,MÉ,175.0,184.0,49.96
948,Montmagny,V,10999.0,11255.0,124.44
949,Notre-Dame-du-Rosaire,MÉ,371.0,392.0,164.63
950,Saint-Antoine-de-l'Isle-aux-Grues,PE,122.0,144.0,23.97
951,Saint-Fabien-de-Panet,PE,945.0,954.0,187.01
952,Saint-François-de-la-Rivière-du-Sud,MÉ,1580.0,1623.0,96.35
953,Saint-Just-de-Bretenières,MÉ,639.0,668.0,132.6
954,Saint-Paul-de-Montminy,MÉ,849.0,785.0,162.77
955,Saint-Pierre-de-la-Rivière-du-Sud,PE,840.0,907.0,91.05
956,Sainte-Apolline-de-Patton,PE,505.0,542.0,256.51
957,Sainte-Euphémie-sur-Rivière-du-Sud,MÉ,338.0,320.0,92.44
958,Sainte-Lucie-de-Beauregard,MÉ,275.0,280.0,82.17
959,Baie-D'Urfé,V,3764.0,3823.0,6.03
960,Beaconsfield,V,19277.0,19324.0,11.03
961,Côte-Saint-Luc,V,34504.0,32448.0,7.04
962,Dollard-Des Ormeaux,V,48403.0,48899.0,14.98
963,Dorval,V,19302.0,18980.0,20.91
964,Hampstead,V,7037.0,6973.0,1.79
965,Kirkland,V,19413.0,20151.0,9.65
966,L'Île-Dorval,V,30.0,5.0,0.19
967,Mont-Royal,V,20953.0,20276.0,7.55
968,Montréal,V,1762949.0,1704694.0,364.74
969,Montréal-Est,V,4394.0,3850.0,12.15
970,Montréal-Ouest,V,5115.0,5050.0,1.37
971,Pointe-Claire,V,33488.0,31380.0,18.91
972,Sainte-Anne-de-Bellevue,V,5027.0,4958.0,10.46
973,Senneville,VL,951.0,921.0,7.45
974,Westmount,V,19658.0,20312.0,4.04
975,Grandes-Piles,VL,493.0,415.0,116.97
976,Hérouxville,PE,1367.0,1278.0,54.72
977,Lac-Boulé,NO,0.0,0.0,22.95
978,Lac-Masketsi,NO,0.0,0.0,211.51
979,Lac-Normand,NO,29.0,5.0,2016.35
980,Lac-aux-Sables,PE,1380.0,1292.0,269.7
981,Notre-Dame-de-Montauban,MÉ,815.0,745.0,162.4
982,Rivière-de-la-Savane,NO,41.0,0.0,1087.02
983,Saint-Adelphe,PE,922.0,922.0,137.08
984,Saint-Roch-de-Mékinac,PE,304.0,302.0,144.52
985,Saint-Séverin,PE,812.0,846.0,61.65
986,Saint-Tite,V,3672.0,3673.0,91.1
987,Sainte-Thècle,MÉ,2415.0,2484.0,212.48
988,Trois-Rives,MÉ,512.0,396.0,597.76
989,Aston-Jonction,MÉ,441.0,424.0,26.2
990,Baie-du-Febvre,MÉ,961.0,988.0,96.78
991,Grand-Saint-Esprit,MÉ,488.0,476.0,27.22
992,La Visitation-de-Yamaska,MÉ,295.0,327.0,42.65
993,Nicolet,V,8620.0,8169.0,96.11
994,Odanak 5,IRI,481.0,449.0,5.61
995,Pierreville 5,MÉ,2104.0,2143.0,77.71
996,Saint-Célestin,VL,892.0,831.0,1.41
997,Saint-Célestin,MÉ,594.0,575.0,76.99
998,Saint-Elphège,PE,251.0,270.0,40.53
999,Saint-François-du-Lac,MÉ,1898.0,1965.0,63.8
1000,Saint-Léonard-d'Aston,MÉ,2530.0,2331.0,82.55
1001,Saint-Wenceslas,MÉ,1167.0,1157.0,79.57
1002,Saint-Zéphirin-de-Courval,PE,707.0,700.0,71.94
1003,Sainte-Eulalie,MÉ,984.0,894.0,86.3
1004,Sainte-Monique,MÉ,519.0,501.0,58.1
1005,Sainte-Perpétue,PE,916.0,959.0,71.51
1006,Akulivik,VN,642.0,633.0,75.02
1007,Akulivik,TI,0.0,0.0,433.92
1008,Aupaluk,VN,233.0,209.0,28.68
1009,Aupaluk,TI,0.0,0.0,525.88
1010,Baie-d'Hudson,NO,5.0,0.0,120831.34
1011,Chapais,V,1468.0,1499.0,62.31
1012,Chibougamau,V,7233.0,7504.0,694.87
1013,Chisasibi,VC,0.0,0.0,480.29
1014,Chisasibi,TC,4985.0,4872.0,825.11
1015,Eastmain,VC,0.0,0.0,317.72
1016,Eastmain,TC,924.0,866.0,148.99
1017,Eeyou Istchee Baie-James 5,GR,2638.0,1579.0,283123.42
1018,Inukjuak,VN,1821.0,1757.0,54.92
1019,Inukjuak,TI,0.0,0.0,420.69
1020,Ivujivik,VN,412.0,414.0,35.15
1021,Ivujivik,TI,0.0,0.0,438.05
1022,Kangiqsualujjuaq,VN,956.0,942.0,34.33
1023,Kangiqsualujjuaq,TI,0.0,0.0,530.48
1024,Kangiqsujuaq,VN,837.0,750.0,12.41
1025,Kangiqsujuaq,TI,0.0,0.0,561.33
1026,Kangirsuk,VN,561.0,567.0,57.15
1027,Kangirsuk,TI,0.0,0.0,512.43
1028,Kawawachikamach,VK,0.0,0.0,234.8
1029,Kuujjuaq,VN,2668.0,2754.0,289.97
1030,Kuujjuaq,TI,0.0,0.0,315.46
1031,Kuujjuarapik 5,VN,792.0,654.0,7.45
1032,Kuujjuarapik,TI,0.0,0.0,289.92
1033,Lebel-sur-Quévillon,V,2091.0,2187.0,44.41
1034,Matagami,V,1402.0,1453.0,75.12
1035,Mistissini,VC,10.0,0.0,488.03
1036,Mistissini,TC,3731.0,3523.0,807.75
1037,Nemaska,VC,0.0,0.0,47.89
1038,Nemaska,TC,832.0,760.0,98.42
1039,Oujé-Bougoumou 5,TC,797.0,747.0,96.22
1040,Puvirnituq,VN,2129.0,1779.0,81.61
1041,Quaqtaq,VN,453.0,403.0,25.82
1042,Quaqtaq,TI,0.0,0.0,503.65
1043,Rivière-Koksoak,NO,0.0,0.0,290009.61
1044,Salluit,VN,1580.0,1483.0,15.08
1045,Salluit,TI,0.0,0.0,591.68
1046,Tasiujaq,VN,420.0,369.0,65.53
1047,Tasiujaq,TI,0.0,0.0,492.69
1048,Umiujaq,VN,541.0,442.0,28.38
1049,Umiujaq,TI,0.0,0.0,253.95
1050,Waskaganish,VC,0.0,0.0,274.22
1051,Waskaganish,TC,2536.0,2196.0,496.99
1052,Waswanipi,VC,0.0,0.0,213.35
1053,Waswanipi,TC,459.0,1759.0,385.83
1054,Wemindji,VC,0.0,0.0,169.12
1055,Wemindji,TC,1562.0,1444.0,387.37
1056,Whapmagoostui,VC,0.0,0.0,120.86
1057,Whapmagoostui 5,TC,1022.0,1016.0,190.83
1058,Boileau,MÉ,405.0,335.0,134.08
1059,Bowman,MÉ,667.0,658.0,126.4
1060,Chénéville,MÉ,848.0,764.0,65.83
1061,Duhamel,MÉ,569.0,430.0,427.32
1062,Fassett,MÉ,453.0,431.0,12.52
1063,Lac-Simon,MÉ,1057.0,944.0,95.65
1064,Lac-des-Plages,MÉ,548.0,431.0,150.95
1065,Lochaber,CT,446.0,415.0,62.14
1066,Lochaber-Partie-Ouest,CT,926.0,856.0,57.39
1067,Mayo,MÉ,704.0,601.0,72.51
1068,Montebello,MÉ,934.0,983.0,8.6
1069,Montpellier,MÉ,1112.0,985.0,246.12
1070,Mulgrave-et-Derry,MÉ,461.0,369.0,289.52
1071,Namur,MÉ,633.0,572.0,56.17
1072,Notre-Dame-de-Bonsecours,MÉ,285.0,301.0,258.36
1073,Notre-Dame-de-la-Paix,MÉ,675.0,648.0,105.96
1074,Papineauville,MÉ,2153.0,2101.0,61.13
1075,Plaisance,MÉ,1129.0,1088.0,36.21
1076,Ripon,MÉ,1735.0,1542.0,129.93
1077,Saint-André-Avellin,MÉ,3562.0,3749.0,137.34
1078,Saint-Sixte,MÉ,490.0,469.0,84.34
1079,Saint-Émile-de-Suffolk,MÉ,512.0,477.0,55.68
1080,Thurso,V,3084.0,2818.0,6.65
1081,Val-des-Bois,MÉ,920.0,865.0,222.67
1082,Massueville,VL,547.0,529.0,1.55
1083,Saint-Aimé,MÉ,405.0,461.0,60.53
1084,Saint-David,MÉ,872.0,817.0,92.97
1085,Saint-Gérard-Majella,PE,240.0,242.0,38.32
1086,Saint-Joseph-de-Sorel,V,1581.0,1642.0,1.36
1087,Saint-Ours,V,1723.0,1669.0,59.23
1088,Saint-Robert,MÉ,1813.0,1803.0,64.97
1089,Saint-Roch-de-Richelieu,MÉ,2573.0,2188.0,34.44
1090,Sainte-Anne-de-Sorel,MÉ,2731.0,2771.0,36.41
1091,Sainte-Victoire-de-Sorel,MÉ,2457.0,2461.0,75.26
1092,Sorel-Tracy,V,35165.0,34755.0,57.28
1093,Yamaska,MÉ,1736.0,1687.0,72.82
1094,Alleyn-et-Cawood,MÉ,229.0,172.0,308.91
1095,Bristol,MÉ,1199.0,1036.0,206.19
1096,Bryson,MÉ,646.0,697.0,3.58
1097,Campbell's Bay,MÉ,705.0,744.0,3.42
1098,Chichester 3,CT,350.0,348.0,218.74
1099,Clarendon,MÉ,1392.0,1256.0,330.46
1100,Fort-Coulonge,VL,1312.0,1433.0,2.96
1101,L'Isle-aux-Allumettes,MÉ,1382.0,1334.0,185.94
1102,L'Île-du-Grand-Calumet,MÉ,648.0,626.0,130.55
1103,Lac-Nilgaut,NO,5.0,5.0,8966.53
1104,Litchfield,MÉ,500.0,459.0,198.57
1105,Mansfield-et-Pontefract,MÉ,2250.0,2285.0,466.61
1106,Otter Lake,MÉ,1041.0,932.0,454.7
1107,Portage-du-Fort,VL,232.0,234.0,4.22
1108,Rapides-des-Joachims,MÉ,141.0,156.0,238.9
1109,Shawville,MÉ,1668.0,1587.0,5.38
1110,Sheenboro 3,MÉ,149.0,130.0,565.43
1111,Thorne,MÉ,528.0,448.0,173.09
1112,Waltham,MÉ,387.0,378.0,360.19
1113,Cap-Santé 5,V,3594.0,3410.0,54.49
1114,Deschambault-Grondines,MÉ,2235.0,2220.0,124.02
1115,Donnacona,V,7436.0,7200.0,20.2
1116,Lac-Blanc 3,NO,0.0,0.0,549.55
1117,Lac-Lapeyrère,NO,0.0,0.0,376.66
1118,Lac-Sergent,V,541.0,497.0,3.72
1119,Linton,NO,10.0,0.0,429.62
1120,Neuville,V,4475.0,4392.0,71.92
1121,Pont-Rouge,V,10121.0,9240.0,121.12
1122,Portneuf,V,3329.0,3187.0,109.1
1123,Rivière-à-Pierre,MÉ,625.0,584.0,515.62
1124,Saint-Alban,MÉ,1196.0,1198.0,148.47
1125,Saint-Basile 5,V,2709.0,2621.0,98.84
1126,Saint-Casimir,MÉ,1449.0,1430.0,66.5
1127,Saint-Gilbert,PE,283.0,296.0,37.44
1128,Saint-Léonard-de-Portneuf 3,MÉ,1140.0,1113.0,141.8
1129,Saint-Marc-des-Carrières,V,2901.0,2911.0,17.29
1130,Saint-Raymond 3,V,11108.0,10358.0,666.2
1131,Saint-Thuribe,PE,298.0,286.0,51.0
1132,Saint-Ubalde,MÉ,1456.0,1412.0,140.72
1133,Sainte-Christine-d'Auvergne 3,MÉ,617.0,551.0,143.6
1134,L'Ancienne-Lorette,V,16970.0,16543.0,7.72
1135,Notre-Dame-des-Anges,PE,241.0,318.0,0.04
1136,Québec,V,549459.0,531902.0,452.3
1137,Saint-Augustin-de-Desmaures,V,19907.0,18820.0,85.8
1138,Wendake,IRI,2200.0,2134.0,1.74
1139,Esprit-Saint,MÉ,340.0,341.0,168.96
1140,La Trinité-des-Monts,PE,233.0,223.0,233.07
1141,Lac-Huron 3,NO,30.0,10.0,960.57
1142,Rimouski 4,V,48935.0,48664.0,339.13
1143,Saint-Anaclet-de-Lessard,PE,3019.0,3071.0,126.37
1144,Saint-Eugène-de-Ladrière 3,PE,413.0,378.0,331.36
1145,Saint-Fabien,PE,1834.0,1837.0,119.92
1146,Saint-Marcellin,PE,397.0,353.0,117.19
1147,Saint-Narcisse-de-Rimouski,PE,1084.0,961.0,162.4
1148,Saint-Valérien 7,PE,906.0,835.0,145.02
1149,Cacouna,MÉ,1848.0,1803.0,62.75
1150,L'Isle-Verte,MÉ,1356.0,1294.0,119.15
1151,Notre-Dame-des-Sept-Douleurs,PE,71.0,36.0,11.53
1152,Notre-Dame-du-Portage,MÉ,1296.0,1151.0,40.06
1153,Rivière-du-Loup,V,20118.0,19507.0,83.74
1154,Saint-Antonin,MÉ,4338.0,4049.0,175.93
1155,Saint-Arsène,PE,1245.0,1230.0,70.81
1156,Saint-Cyprien,MÉ,1078.0,1066.0,138.43
1157,Saint-François-Xavier-de-Viger,MÉ,247.0,245.0,111.27
1158,Saint-Hubert-de-Rivière-du-Loup,MÉ,1412.0,1279.0,192.2
1159,Saint-Modeste,MÉ,1180.0,1162.0,109.72
1160,Saint-Paul-de-la-Croix,PE,313.0,309.0,78.42
1161,Saint-Épiphane,MÉ,836.0,827.0,82.85
1162,Beauceville 5,V,6185.0,6291.0,164.59
1163,Saint-Alfred 5,MÉ,519.0,482.0,43.49
1164,Saint-Frédéric 5,PE,1065.0,997.0,72.35
1165,Saint-Joseph-de-Beauce 5,V,5014.0,4858.0,114.7
1166,Saint-Joseph-des-Érables,MÉ,377.0,410.0,51.43
1167,Saint-Jules,PE,547.0,539.0,55.73
1168,Saint-Odilon-de-Cranbourne,PE,1407.0,1374.0,130.61
1169,Saint-Séverin,PE,300.0,278.0,58.92
1170,Saint-Victor,MÉ,2313.0,2448.0,120.45
1171,Tring-Jonction 5,VL,1526.0,1448.0,27.32
1172,Candiac,V,22997.0,21047.0,17.27
1173,Châteauguay,V,50815.0,47906.0,34.31
1174,Delson,V,8328.0,7457.0,7.64
1175,Kahnawake 6,IRI,,,49.34
1176,La Prairie,V,26406.0,24110.0,43.47
1177,Léry,V,2390.0,2318.0,10.36
1178,Mercier,V,14626.0,13115.0,45.96
1179,Saint-Constant,V,29954.0,27359.0,57.06
1180,Saint-Isidore,PE,2769.0,2608.0,52.29
1181,Saint-Mathieu,MÉ,2339.0,2156.0,31.41
1182,Saint-Philippe,V,7597.0,6320.0,61.96
1183,Sainte-Catherine,V,17347.0,17047.0,9.37
1184,Ange-Gardien,MÉ,2889.0,2699.0,90.21
1185,Marieville,V,11332.0,10725.0,63.23
1186,Richelieu,V,5742.0,5236.0,30.96
1187,Rougemont,MÉ,2696.0,2755.0,43.91
1188,Saint-Césaire,V,5972.0,5877.0,83.06
1189,Saint-Mathias-sur-Richelieu,MÉ,4544.0,4531.0,47.02
1190,Saint-Paul-d'Abbotsford,MÉ,2886.0,2890.0,79.6
1191,Sainte-Angèle-de-Monnoir,MÉ,1828.0,1823.0,44.8
1192,Rouyn-Noranda,V,42313.0,42334.0,5963.57
1193,Caniapiscau,NO,0.0,0.0,30108.23
1194,Fermont,V,2256.0,2474.0,451.12
1195,Kawawachikamach,TK,641.0,601.0,32.51
1196,Lac-John,IRI,21.0,33.0,0.5
1197,Lac-Juillet,NO,0.0,0.0,2865.5
1198,Lac-Vacher,NO,44.0,0.0,454.03
1199,Lac-Walker,NO,113.0,108.0,17162.43
1200,Maliotenam,IRI,1610.0,1542.0,5.2
1201,Matimekosh 5,IRI,661.0,638.0,0.69
1202,Port-Cartier,V,6516.0,6799.0,1092.75
1203,Rivière-Mouchalagane,NO,15.0,5.0,30999.1
1204,Rivière-Nipissis,NO,0.0,0.0,9522.28
1205,Schefferville 5,V,244.0,130.0,24.76
1206,Sept-Îles,V,24569.0,25400.0,1742.88
1207,Uashat 27,IRI,1550.0,1592.0,2.36
1208,Shawinigan,V,49620.0,49349.0,729.98
1209,Sherbrooke,V,172950.0,161323.0,353.4
1210,Blainville,V,59819.0,56863.0,54.97
1211,Bois-des-Filion,V,10159.0,9636.0,4.36
1212,Boisbriand,V,28308.0,26884.0,27.67
1213,Lorraine,V,9502.0,9352.0,5.9
1214,Rosemère,V,14090.0,13958.0,10.68
1215,Sainte-Anne-des-Plaines,V,15221.0,14421.0,93.44
1216,Sainte-Thérèse,V,26533.0,25989.0,9.48
1217,Belleterre,V,285.0,313.0,544.49
1218,Béarn 3,MÉ,708.0,720.0,496.28
1219,Duhamel-Ouest,MÉ,945.0,878.0,91.49
1220,Fugèreville,MÉ,326.0,326.0,157.12
1221,Guérin,CT,333.0,320.0,188.52
1222,Hunter's Point,S-É,5.0,10.0,1.3
1223,Kebaowek 5,IRI,326.0,291.0,0.57
1224,Kipawa 5,MÉ,446.0,499.0,35.58
1225,Laforce,MÉ,320.0,231.0,436.78
1226,Laniel,NO,89.0,82.0,408.2
1227,Latulipe-et-Gaboury,CU,320.0,295.0,270.11
1228,Laverlochère-Angliers 5,MÉ,947.0,978.0,400.83
1229,Les Lacs-du-Témiscamingue,NO,10.0,15.0,10366.89
1230,Lorrainville,MÉ,1286.0,1272.0,87.91
1231,Moffet,MÉ,206.0,187.0,340.31
1232,Notre-Dame-du-Nord,MÉ,1090.0,1052.0,74.34
1233,Nédélec,CT,340.0,356.0,371.49
1234,Rémigny,MÉ,287.0,280.0,894.05
1235,Saint-Bruno-de-Guigues,MÉ,1185.0,1154.0,125.77
1236,Saint-Eugène-de-Guigues,MÉ,458.0,465.0,109.52
1237,Saint-Édouard-de-Fabre,PE,671.0,628.0,190.29
1238,Timiskaming,IRI,541.0,539.0,18.39
1239,Témiscaming,V,2368.0,2431.0,710.84
1240,Ville-Marie,V,2464.0,2584.0,5.83
1241,Winneway,S-É,176.0,104.0,0.33
1242,Auclair,MÉ,447.0,448.0,105.78
1243,Biencourt,MÉ,433.0,464.0,187.12
1244,Dégelis,V,2884.0,2863.0,556.78
1245,Lac-des-Aigles,MÉ,495.0,512.0,86.63
1246,Lejeune,MÉ,246.0,262.0,270.13
1247,Packington,PE,578.0,603.0,118.75
1248,Pohénégamook,V,2481.0,2582.0,339.99
1249,Rivière-Bleue,MÉ,1261.0,1230.0,173.42
1250,Saint-Athanase,MÉ,303.0,317.0,292.63
1251,Saint-Elzéar-de-Témiscouata,MÉ,311.0,321.0,151.14
1252,Saint-Eusèbe,PE,587.0,593.0,129.56
1253,Saint-Honoré-de-Témiscouata,MÉ,763.0,741.0,262.97
1254,Saint-Jean-de-la-Lande 3,MÉ,232.0,248.0,107.03
1255,Saint-Juste-du-Lac,MÉ,543.0,561.0,166.94
1256,Saint-Louis-du-Ha! Ha!,PE,1311.0,1292.0,112.23
1257,Saint-Marc-du-Lac-Long,PE,365.0,397.0,148.64
1258,Saint-Michel-du-Squatec,MÉ,1076.0,1113.0,361.23
1259,Saint-Pierre-de-Lamy,MÉ,122.0,117.0,110.63
1260,Témiscouata-sur-le-Lac,V,5054.0,4910.0,218.81
1261,Coteau-du-Lac,V,7473.0,7044.0,46.87
1262,Hudson 4,V,5411.0,5157.0,21.79
1263,L'Île-Cadieux,V,120.0,126.0,0.59
1264,L'Île-Perrot,V,11638.0,10756.0,5.46
1265,Les Coteaux,MÉ,5643.0,5368.0,11.64
1266,Les Cèdres,MÉ,7184.0,6777.0,77.63
1267,Notre-Dame-de-l'Île-Perrot,V,11427.0,10654.0,28.06
1268,Pincourt,V,14751.0,14558.0,7.1
1269,Pointe-Fortune,VL,582.0,580.0,8.09
1270,Pointe-des-Cascades,VL,1775.0,1481.0,2.74
1271,Rigaud,V,7854.0,7777.0,99.2
1272,Rivière-Beaudette,MÉ,2489.0,2097.0,18.48
1273,Saint-Clet,MÉ,1700.0,1779.0,39.32
1274,Saint-Lazare 4,V,22354.0,19917.0,66.86
1275,Saint-Polycarpe,MÉ,2372.0,2224.0,69.88
1276,Saint-Télesphore,MÉ,754.0,759.0,60.1
1277,Saint-Zotique,MÉ,9618.0,7934.0,25.04
1278,Sainte-Justine-de-Newton,MÉ,947.0,922.0,84.59
1279,Sainte-Marthe,MÉ,1014.0,1097.0,79.6
1280,Terrasse-Vaudreuil,MÉ,1887.0,1986.0,1.06
1281,Très-Saint-Rédempteur,MÉ,978.0,898.0,26.06
1282,Vaudreuil-Dorion,V,43268.0,38117.0,72.65
1283,Vaudreuil-sur-le-Lac,VL,1361.0,1341.0,1.38
